ifpid;firstdate;lastdate;type;ifpdays;BRIER SCORE
1409;22-août-14;05-oct-14;binary;45;0.004
1410;22-août-14;18-sept-14;binary;28;0.167
1412;22-août-14;15-oct-14;binary;55;1.272
1413;22-août-14;31-déc-14;binary;132;0.012
1414;22-août-14;15-sept-14;binary;25;0.142
1415;22-août-14;26-août-14;binary;5;0.487
1416;28-août-14;31-déc-14;binary;126;0.033
1417;28-août-14;31-mai-15;binary;277;0.662
1418;28-août-14;29-sept-14;binary;33;0.453
1420;28-août-14;31-mai-15;binary;277;0.337
1421;28-août-14;31-mai-15;binary;277;0.13
1423;04-sept-14;11-nov-14;binary;69;0.182
1424;04-sept-14;15-sept-14;binary;12;0.049
1425;04-sept-14;17-nov-14;binary;75;0.06
1427;04-sept-14;31-déc-14;binary;119;0.046
1428;04-sept-14;31-déc-14;binary;119;0.028
1429;04-sept-14;22-sept-14;binary;19;0.041
1430;18-sept-14;31-mai-15;binary;256;0.085
1432;18-sept-14;09-oct-14;binary;22;0.264
1433;18-sept-14;07-oct-14;binary;20;0.339
1434;18-sept-14;31-déc-14;binary;105;0.062
1435;18-sept-14;31-mai-15;binary;256;0.267
1437;25-sept-14;31-mai-15;binary;249;0.092
1438;25-sept-14;31-mars-15;binary;188;0.383
1440;25-sept-14;31-mai-15;binary;249;0.094
1442;25-sept-14;06-oct-14;binary;12;0.119
1443;02-oct-14;03-nov-14;binary;33;0.483
1431;18-sept-14;24-nov-14;multi;68;0.051
1439;25-sept-14;26-mars-15;ordinal;183;0.091
1441;25-sept-14;31-mai-15;ordinal;249;0.044
1444;02-oct-14;31-mai-15;ordinal;242;0.039
1445;02-oct-14;25-janv-15;ordinal;116;0.808
1446;02-oct-14;31-mai-15;ordinal;242;0.062
